"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.336,18.876,20.136,14.278,14.501,17.248,no data,no data,no data,no data,no data,no data,no data
Albania,1.969,2.256,2.323,2.347,2.317,2.366,2.617,2.597,2.56,2.812,2.247,1.349,0.853,1.478,2.389,2.916,3.238,2.251,2.585,3.264,3.529,3.974,4.408,5.628,7.263,8.148,9.002,10.804,13.035,12.187,12.079,13.052,12.47,12.936,13.404,11.525,12.003,13.209,15.337,15.582,15.271,18.086,19.185,23.388,27.259,28.372,29.743,31.382,33.354,35.462,37.683
Algeria,45.957,48.156,48.599,51.582,55.906,66.346,66.783,68.698,56.07,57.041,67.171,50.65,53.414,55.309,46.044,45.654,50.945,52.287,52.297,53.011,59.418,59.413,61.516,73.482,91.914,107.047,123.084,142.483,180.384,150.317,177.785,218.332,227.144,229.701,238.943,187.494,180.764,190.004,194.507,193.361,164.774,185.85,225.709,247.789,264.913,268.885,269.435,274.52,279.983,285.271,290.941
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.429,1.547,1.758,2.362,2.896,3.158,3.456,3.952,4.082,3.675,3.446,3.625,3.189,3.193,3.267,2.789,2.895,2.993,3.217,3.155,2.885,3.325,3.376,3.786,4.038,4.035,4.169,4.301,4.438,4.583,4.732
Angola,8.73,8.17,8.17,8.514,9.025,11.119,10.411,11.9,12.909,15.017,16.529,16.022,12.354,8.966,6.529,8.148,10.51,12.344,10.464,9.895,12.646,12.378,17.312,20.342,26.998,41.397,58.654,73.038,98.79,81.705,95.547,125.552,143.573,153.761,164.448,131.661,114.764,139.835,114.189,94.671,66.521,84.375,142.442,109.764,115.946,113.343,109.384,112.743,118.534,125.036,132.281
Antigua and Barbuda,0.132,0.149,0.166,0.185,0.212,0.246,0.298,0.347,0.411,0.455,0.479,0.504,0.525,0.566,0.625,0.616,0.679,0.734,0.79,0.836,0.901,0.878,0.898,0.948,1.026,1.144,1.304,1.487,1.558,1.387,1.298,1.287,1.365,1.325,1.379,1.437,1.49,1.535,1.662,1.726,1.412,1.602,1.867,2.006,2.225,2.373,2.493,2.606,2.723,2.846,2.974
Argentina,233.696,189.802,94.25,116.267,130.544,98.599,118.565,121.561,142.386,91.352,158.024,211.979,255.787,264.429,287.835,288.497,304.282,327.436,334.244,316.998,317.759,300.421,112.458,142.431,164.911,199.273,232.892,287.921,363.545,334.633,424.729,527.644,579.666,611.471,563.614,642.464,556.774,643.861,524.431,446.762,385.218,486.04,632.318,645.511,632.145,683.533,715.376,715.766,712.668,738.395,776.815
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.108,0.835,0.648,1.287,1.597,1.639,1.892,1.845,1.912,2.118,2.376,2.807,3.577,4.9,6.384,9.206,11.662,8.648,9.26,10.142,10.619,11.121,11.61,10.553,10.546,11.527,12.458,13.619,12.642,13.879,19.514,24.086,25.533,26.258,26.681,27.893,29.523,31.388,33.319
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.321,1.38,1.532,1.665,1.723,1.873,1.896,1.962,2.044,2.255,2.36,2.47,2.678,2.843,2.554,2.454,2.638,2.615,2.728,2.791,2.963,2.984,3.092,3.276,3.341,2.486,2.929,3.279,3.649,3.952,4.1,4.286,4.481,4.643,4.797,4.957
