-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  13.08   Longitude 80.27 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,23.58,24.69,28.02,31.02,30.99,30.33,29.13,28.1,27.28,26.75,24.78,23.94,27.4
T2M,1982,23.32,25.36,28.3,30.61,31.43,29.03,28.54,28.35,28.37,27.26,25.71,24.46,27.57
T2M,1983,24.43,27.53,29.3,30.89,31.81,30.64,29.57,28.66,27.06,27.06,25.21,24.59,28.06
T2M,1984,24.42,24.97,26.29,29.68,31.38,30.57,28.43,29.43,28.51,26.69,25.52,23.86,27.48
T2M,1985,24.13,25.78,28.28,31.04,32.01,28.93,27.89,28.07,27.36,27.02,24.49,23.78,27.41
T2M,1986,23.36,24.56,27.45,30.16,32.99,30.89,29.75,29.11,28.95,26.89,25.44,24.87,27.88
T2M,1987,24.28,24.89,28.16,31.01,31.62,30.74,30.61,28.6,28.97,27.53,25.92,24.65,28.1
T2M,1988,23.57,25.64,29.28,30.42,32.14,31.91,29.07,28.07,27.46,27.47,25.4,24.14,27.88
T2M,1989,23.87,24.92,27.91,30.79,32.51,30.07,28.59,29.35,28.19,27.51,25.57,23.88,27.78
T2M,1990,23.67,26.54,29.34,31.31,29.51,29.62,29.51,28.99,28.39,27.5,25.84,24.66,27.91
T2M,1991,25.0,26.7,29.12,31.2,31.77,29.35,29.05,29.09,28.9,27.78,25.21,23.76,28.08
T2M,1992,22.88,26.08,27.78,30.49,32.11,31.59,29.33,29.11,28.72,27.38,25.79,23.47,27.89
T2M,1993,23.2,25.38,28.69,30.65,31.88,30.19,29.6,28.91,27.75,26.85,25.54,23.81,27.71
T2M,1994,23.7,25.27,27.75,30.76,32.08,30.23,29.64,29.4,28.87,27.26,25.33,23.03,27.79
T2M,1995,23.38,25.0,27.79,30.63,29.42,29.73,28.82,28.3,27.94,26.81,25.56,23.83,27.27
T2M,1996,24.11,25.68,28.4,30.04,33.15,29.22,28.21,28.22,27.39,26.62,25.54,23.6,27.52
T2M,1997,23.13,24.34,27.91,29.87,32.16,31.21,30.39,29.96,28.51,27.85,26.17,25.52,28.11
T2M,1998,24.72,26.24,28.94,31.17,32.34,32.19,29.74,28.59,28.39,27.16,26.08,24.24,28.32
T2M,1999,23.28,25.85,28.98,30.75,30.4,29.59,29.43,29.24,28.72,26.82,25.56,23.78,27.7
T2M,2000,24.46,26.55,27.51,30.88,31.56,30.18,29.41,28.41,28.41,26.77,25.82,23.91,27.82
