-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  25.4   Longitude 82.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 95.42 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,15.87,19.94,25.53,32.02,36.41,36.73,29.17,28.4,27.7,23.82,19.35,16.21,25.95
T2M,1982,17.07,17.12,22.81,31.23,34.78,35.46,33.88,28.79,26.73,25.13,20.48,17.02,25.92
T2M,1983,15.69,18.63,25.85,29.82,36.07,36.37,32.55,29.87,28.41,24.43,19.22,17.65,26.25
T2M,1984,16.36,17.48,26.73,33.25,37.19,34.58,31.66,30.31,26.5,24.42,20.36,17.56,26.39
T2M,1985,16.84,19.45,28.01,33.14,37.08,37.72,31.78,29.81,27.88,23.07,19.17,16.62,26.74
T2M,1986,15.37,18.8,25.88,32.82,35.09,36.84,29.76,29.12,28.63,27.04,22.97,17.97,26.72
T2M,1987,16.51,21.2,26.36,32.56,34.86,39.33,34.84,32.33,27.95,24.54,20.76,17.23,27.39
T2M,1988,17.54,21.45,26.65,33.76,37.71,36.57,30.11,28.87,29.77,26.74,23.0,19.1,27.6
T2M,1989,15.38,20.13,25.84,31.74,36.27,35.79,31.05,29.99,29.31,27.02,23.0,18.1,26.99
T2M,1990,18.89,20.87,25.23,31.96,36.68,36.15,29.24,28.34,27.69,24.97,20.9,17.63,26.56
T2M,1991,16.72,22.15,27.83,32.36,37.8,34.68,33.52,28.73,27.22,23.88,20.26,17.49,26.91
T2M,1992,16.85,19.08,27.02,32.85,35.79,37.88,32.76,29.3,27.28,24.59,21.25,17.85,26.89
T2M,1993,17.22,21.45,24.32,32.02,36.64,36.56,33.17,32.74,27.28,25.57,22.17,17.48,27.24
T2M,1994,18.93,19.01,27.83,31.99,37.13,35.99,30.69,28.79,26.62,24.92,22.59,18.15,26.92
T2M,1995,15.76,20.3,26.15,32.65,36.94,37.53,32.74,29.09,27.44,26.87,21.73,18.69,27.18
T2M,1996,17.18,19.82,27.67,32.27,37.07,35.81,30.78,28.19,27.95,23.85,19.87,15.83,26.36
T2M,1997,15.91,19.1,26.53,30.49,35.19,36.04,30.62,28.54,27.27,25.06,22.61,16.25,26.16
T2M,1998,15.33,19.77,23.8,32.59,37.25,36.84,30.39,29.0,27.97,26.16,21.67,17.19,26.52
T2M,1999,16.27,20.98,26.93,33.59,36.86,34.89,31.59,28.94,27.42,24.79,21.31,17.59,26.78
T2M,2000,17.17,19.04,25.69,33.4,36.8,34.31,31.74,30.23,27.47,26.76,22.71,17.52,26.92
T2M,2001,16.44,21.04,26.61,31.92,36.49,33.41,29.72,29.09,27.66,25.41,21.49,16.81,26.36
T2M,2002,16.08,19.93,27.09,33.49,36.56,36.13,34.71,29.46,26.91,24.84,21.62,17.72,27.08
T2M,2003,15.08,19.96,25.8,33.37,35.71,37.38,31.9,29.58,27.61,23.78,19.29,16.48,26.35
T2M,2004,15.12,18.83,27.92,33.83,36.86,33.59,30.48,29.41,29.03,26.22,21.82,17.89,26.76
T2M,2005,16.85,20.88,27.68,31.58,35.36,37.78,29.42,28.97,27.69,25.73,20.37,16.22,26.56
T2M,2006,16.86,23.58,25.46,32.04,36.65,35.07,30.53,29.24,29.91,28.18,23.08,19.15,27.48
T2M,2007,17.43,20.08,24.38,33.53,35.69,36.75,31.57,28.99,28.0,24.64,21.45,17.13,26.65
T2M,2008,17.04,18.78,27.93,32.19,35.6,31.65,28.27,28.31,27.54,25.29,20.01,17.52,25.86
T2M,2009,17.45,20.72,26.88,32.24,36.13,37.72,32.51,31.32,28.48,24.71,20.81,17.63,27.24
T2M,2010,15.74,20.19,28.45,34.54,37.56,38.27,32.52,29.7,28.16,26.93,23.35,16.9,27.72
T2M,2011,15.39,20.82,26.99,31.9,37.1,34.44,29.49,28.38,27.59,24.62,20.34,15.83,26.09
T2M,2012,15.05,18.51,25.15,32.59,36.58,38.82,31.0,28.64,27.21,24.01,18.7,15.76,26.01
T2M,2013,14.69,19.26,25.59,32.26,36.84,33.36,29.27,28.56,28.29,24.83,18.37,15.79,25.62
T2M,2014,15.08,17.56,23.9,32.13,36.59,38.4,32.09,30.09,29.06,26.64,21.35,15.57,26.57
T2M,2015,15.0,20.71,24.48,30.23,36.83,37.15,30.43,29.65,30.17,28.65,24.9,18.27,27.22
T2M,2016,17.79,22.27,28.03,34.7,37.13,36.65,29.86,28.53,27.72,24.31,18.05,15.1,26.67
T2M,2017,16.08,20.21,26.22,34.29,37.75,36.88,29.23,28.69,28.28,27.05,21.58,17.89,27.03
T2M,2018,16.55,22.17,28.25,33.04,36.61,37.2,31.69,28.79,27.39,25.45,21.49,16.13,27.07
T2M,2019,15.63,20.15,25.46,33.09,36.97,38.03,31.06,29.1,27.69,24.15,20.21,13.88,26.3
T2M,2020,13.26,16.47,24.04,30.66,34.51,31.26,29.14,28.88,28.23,26.53,21.05,17.08,25.11
T2M,2021,17.38,21.6,28.75,32.48,32.44,31.19,29.87,28.66,28.17,24.9,18.68,15.58,25.82
T2M,2022,14.09,18.34,27.7,35.04,36.34,35.77,31.25,28.77,27.75,24.51,19.55,16.17,26.3
T2M,2023,15.36,20.9,26.14,30.09,33.47,36.15,30.93,28.85,28.73,26.13,22.85,17.58,26.44
T2M,2024,15.22,19.22,25.42,33.36,36.37,37.94,30.76,28.85,28.25,25.85,21.03,16.38,26.55
T2M,2025,16.34,21.45,27.27,32.23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_RANGE,1981,14.43,18.1,17.4,19.3,15.61,13.57,6.08,6.06,6.82,12.39,13.79,15.18,13.19
T2M_RANGE,1982,13.67,14.77,16.82,16.62,15.13,12.36,9.11,6.16,7.97,10.8,12.59,15.19,12.58
T2M_RANGE,1983,15.77,17.35,19.35,16.2,15.41,12.98,9.31,7.57,6.69,11.62,16.77,15.02,13.65
T2M_RANGE,1984,15.23,17.85,20.64,17.76,17.64,10.35,8.6,8.16,7.7,13.72,16.51,17.35,14.29
T2M_RANGE,1985,14.76,20.17,20.62,17.4,16.85,12.02,8.5,7.5,7.61,9.91,13.18,14.48,13.54
T2M_RANGE,1986,15.53,15.62,18.87,17.95,16.19,12.52,7.09,7.81,11.31,15.15,17.53,14.86,14.18
T2M_RANGE,1987,15.51,16.77,18.06,18.09,15.18,13.98,10.07,9.47,7.66,12.07,15.06,16.52,14.02
T2M_RANGE,1988,17.17,18.85,19.4,18.67,16.99,11.38,6.92,6.55,9.15,15.1,15.79,15.86,14.3
T2M_RANGE,1989,17.9,19.37,17.4,19.53,16.96,10.68,8.11,7.95,8.45,15.23,16.72,15.96,14.49
T2M_RANGE,1990,18.32,15.65,17.94,18.39,14.33,10.86,6.27,5.36,6.0,10.57,15.1,15.59,12.85
T2M_RANGE,1991,16.94,18.56,18.66,17.71,16.71,11.45,9.62,6.01,7.55,13.0,15.25,15.17,13.86
T2M_RANGE,1992,16.76,18.09,18.55,18.01,15.79,13.37,8.4,7.08,8.07,11.7,14.1,15.81,13.79
T2M_RANGE,1993,16.93,18.62,17.79,18.56,16.35,11.81,9.67,10.41,6.2,13.69,16.44,17.37,14.47
T2M_RANGE,1994,16.15,17.59,19.84,16.56,15.84,10.33,7.84,5.93,8.58,13.41,15.58,17.66,13.76
T2M_RANGE,1995,16.43,17.5,17.62,17.75,15.63,12.07,9.21,6.69,7.25,13.89,16.22,15.68,13.8
T2M_RANGE,1996,15.35,17.32,18.11,18.15,16.01,11.08,8.07,5.59,7.37,10.85,16.3,17.76,13.48
T2M_RANGE,1997,16.53,19.48,17.5,16.55,15.58,11.12,7.28,6.28,7.63,11.08,12.09,11.39,12.66
T2M_RANGE,1998,15.32,16.95,17.53,17.5,16.06,11.34,7.05,5.92,6.42,9.4,13.76,16.54,12.79
T2M_RANGE,1999,16.83,17.26,20.97,20.35,15.05,11.49,7.87,6.74,6.02,10.78,16.15,16.51,13.81
T2M_RANGE,2000,18.25,18.8,19.6,19.19,13.74,10.0,8.25,8.14,7.95,14.97,16.44,17.38,14.38
T2M_RANGE,2001,17.36,19.16,17.83,17.48,13.68,8.17,6.66,6.75,8.46,10.19,14.42,16.05,12.98
