-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  34.15   Longitude 77.58 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4532.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-16.46,-16.65,-12.96,-4.23,2.51,4.52,9.85,8.32,3.39,-2.9,-11.54,-14.82,-4.17
T2M,1982,-14.32,-17.24,-12.85,-4.84,-0.21,4.0,8.02,9.46,2.37,-2.21,-8.47,-13.59,-4.08
T2M,1983,-14.91,-14.82,-13.04,-5.28,1.23,3.88,8.11,10.62,5.45,-2.39,-7.46,-12.16,-3.33
T2M,1984,-15.29,-15.72,-7.45,-3.3,2.22,8.43,9.85,11.11,3.35,-2.54,-8.33,-13.45,-2.55
T2M,1985,-15.93,-13.16,-7.02,-1.65,1.0,5.5,10.22,10.23,4.98,-2.55,-8.0,-12.55,-2.35
T2M,1986,-19.88,-14.72,-10.81,-3.77,-0.34,5.3,11.05,9.42,4.38,-2.25,-8.39,-18.06,-3.95
T2M,1987,-19.81,-15.78,-11.45,-3.11,-0.88,4.27,7.53,9.38,5.11,-3.43,-6.71,-9.77,-3.66
T2M,1988,-12.56,-12.03,-10.86,-2.4,1.49,6.01,11.36,9.05,4.24,-2.76,-6.29,-10.54,-2.08
T2M,1989,-17.19,-15.8,-9.23,-4.77,0.51,4.47,8.8,7.99,4.36,-2.14,-8.57,-12.91,-3.64
T2M,1990,-14.69,-14.78,-12.56,-5.94,3.16,7.41,10.5,10.02,6.14,-2.17,-6.78,-10.82,-2.47
T2M,1991,-13.74,-12.31,-6.58,-3.42,1.18,6.64,9.61,9.21,5.23,-2.96,-8.06,-11.23,-2.14
T2M,1992,-12.39,-16.9,-11.32,-4.16,0.16,4.59,8.83,9.81,4.53,-1.85,-6.14,-11.58,-2.99
T2M,1993,-15.24,-9.99,-10.48,-2.7,1.96,6.07,9.17,8.37,4.79,-2.63,-6.99,-10.72,-2.33
T2M,1994,-13.51,-15.95,-7.79,-4.82,1.39,6.98,12.25,11.19,3.7,-2.94,-6.19,-14.12,-2.4
T2M,1995,-20.86,-16.95,-12.21,-4.73,2.1,6.12,9.83,9.22,3.91,-2.39,-7.3,-14.2,-3.89
T2M,1996,-16.17,-13.44,-8.66,-3.49,0.01,6.49,9.05,9.32,4.87,-2.94,-9.11,-13.13,-3.07
T2M,1997,-14.3,-15.1,-7.99,-3.05,-0.23,5.63,11.36,8.89,4.84,-2.8,-7.88,-13.01,-2.73
T2M,1998,-14.18,-11.67,-8.47,-1.72,2.57,6.17,10.96,10.16,6.26,-1.21,-5.84,-9.69,-1.33
T2M,1999,-12.88,-11.51,-7.88,-1.61,2.46,5.97,10.41,9.68,6.29,-1.87,-7.96,-10.28,-1.54
T2M,2000,-13.33,-16.53,-9.84,-2.13,4.42,7.15,10.87,9.44,4.37,-1.04,-7.27,-11.36,-2.05
T2M,2001,-14.27,-12.77,-7.68,-2.16,3.38,8.14,11.18,9.73,3.11,-1.36,-7.22,-11.25,-1.7
T2M,2002,-13.24,-12.71,-6.9,-1.97,2.09,6.37,8.65,10.48,3.09,-1.66,-6.82,-11.92,-1.98
T2M,2003,-12.61,-14.27,-13.01,-2.39,-0.77,5.97,10.19,9.32,5.23,-1.93,-8.15,-14.29,-3.0
