-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  22.584   Longitude 88.3369 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,18.89,22.06,26.55,29.0,29.1,29.23,28.33,28.18,27.72,25.62,21.14,18.0,25.33
T2M,1982,19.8,21.88,25.58,30.21,31.63,29.44,29.13,27.83,27.83,26.34,22.44,19.51,25.99
T2M,1983,20.21,23.12,28.19,31.79,31.14,30.81,30.12,28.63,27.9,25.77,23.63,19.84,26.77
T2M,1984,19.96,22.9,28.51,31.78,30.81,28.89,28.12,27.94,26.98,26.01,20.37,18.55,25.91
T2M,1985,20.56,22.65,29.11,32.46,31.42,30.79,28.15,28.36,27.35,25.25,21.21,19.37,26.4
T2M,1986,18.54,23.72,28.96,31.73,30.99,30.36,28.27,28.4,27.43,24.88,22.1,18.69,26.17
T2M,1987,17.56,22.52,27.77,31.07,31.08,30.57,29.17,28.24,27.94,25.99,21.97,19.2,26.1
T2M,1988,19.71,23.71,28.0,31.37,31.48,29.81,28.4,28.32,27.84,25.4,22.09,19.94,26.34
T2M,1989,17.59,22.95,28.11,32.0,31.71,29.4,28.44,27.81,27.63,26.22,21.79,18.69,26.04
T2M,1990,19.66,24.01,26.2,29.95,30.52,29.48,28.05,28.03,27.51,24.93,22.2,18.25,25.73
T2M,1991,18.38,24.39,29.97,32.56,32.97,29.42,28.48,28.35,27.58,25.4,20.35,18.17,26.34
T2M,1992,17.71,21.82,27.99,33.03,31.16,29.58,28.18,27.8,27.37,25.93,22.56,19.1,26.02
T2M,1993,19.72,23.85,27.41,30.46,31.05,29.69,28.59,28.21,27.1,25.77,21.64,17.06,25.88
T2M,1994,18.82,21.53,28.25,31.03,32.27,29.43,28.14,27.94,27.09,25.62,21.83,17.95,25.84
T2M,1995,18.29,23.08,28.01,32.9,30.64,29.22,28.14,27.87,27.5,25.58,21.34,17.53,25.84
T2M,1996,18.35,21.73,28.72,31.7,32.97,30.02,28.66,27.66,27.65,25.16,20.95,17.2,25.9
T2M,1997,18.54,22.3,28.66,28.17,31.63,30.05,28.31,28.02,27.28,25.59,23.21,18.3,25.85
T2M,1998,17.75,22.23,25.13,29.86,32.2,30.69,28.98,28.26,27.65,26.96,22.85,17.2,25.82
T2M,1999,16.66,22.9,28.26,32.31,31.4,29.61,28.27,27.85,27.19,25.86,20.92,18.18,25.79
T2M,2000,17.65,21.34,27.02,30.87,29.5,28.74,28.34,28.09,27.38,26.27,22.79,17.24,25.44
T2M,2001,16.72,23.04,28.09,31.43,31.01,28.29,28.14,28.17,27.66,26.37,23.08,16.84,25.74
T2M,2002,18.24,21.64,27.79,31.06,32.85,29.26,28.72,27.86,27.28,25.48,21.4,18.04,25.82
T2M,2003,16.06,23.21,26.2,31.48,32.74,30.37,28.55,28.47,27.75,26.54,21.35,17.33,25.84
T2M,2004,16.93,20.61,28.12,31.1,32.8,29.55,28.42,28.09,27.27,24.98,21.41,18.75,25.68
T2M,2005,17.95,23.18,28.23,31.01,31.35,31.19,28.64,28.6,27.61,26.1,20.44,17.19,25.96
T2M,2006,17.37,23.68,28.29,31.42,30.71,29.12,28.52,27.95,27.44,26.32,22.06,18.0,25.91
T2M,2007,17.01,21.8,26.06,31.41,31.82,29.93,28.24,28.01,27.43,25.55,21.96,16.37,25.47
T2M,2008,16.93,19.19,27.08,29.83,31.48,28.59,28.08,27.95,27.22,25.72,22.08,19.48,25.32
T2M,2009,19.12,22.81,27.8,32.27,30.32,30.14,29.02,28.16,27.73,24.94,22.12,18.08,26.05
T2M,2010,16.38,22.06,29.13,32.76,30.81,30.12,28.77,28.36,27.73,26.52,24.19,17.97,26.24
T2M,2011,17.05,22.21,27.94,30.17,30.69,29.58,28.28,27.78,27.49,26.59,22.37,17.83,25.67
T2M,2012,18.35,21.37,27.51,31.08,31.97,31.53,29.08,28.32,27.63,24.32,20.16,16.07,25.62
T2M,2013,15.91,21.36,27.81,31.51,31.18,29.11,28.77,27.94,27.76,26.18,20.9,18.11,25.56
T2M,2014,16.73,20.43,26.5,32.93,32.62,30.6,28.98,28.3,27.91,26.12,20.96,16.33,25.72
T2M,2015,17.66,22.23,27.12,29.51,31.31,30.12,28.31,28.37,28.1,26.68,23.36,19.91,26.07
T2M,2016,19.49,25.12,28.19,33.32,32.02,29.94,28.56,28.23,27.72,26.08,21.23,17.8,26.47
T2M,2017,17.95,22.66,26.55,31.01,32.02,30.19,28.51,28.25,28.04,26.7,21.68,18.5,26.01
T2M,2018,15.63,21.61,27.53,29.5,30.79,29.79,29.02,28.48,27.98,25.93,22.73,17.34,25.54
T2M,2019,17.93,22.64,25.83,30.85,32.02,31.43,29.99,28.89,27.82,26.16,22.49,17.64,26.15
T2M,2020,16.79,19.3,25.53,30.23,30.12,29.15,28.8,28.69,28.2,27.21,21.93,18.03,25.34
T2M,2021,18.54,22.21,29.4,31.55,30.85,28.77,28.72,28.19,27.62,26.81,22.15,18.31,26.11
T2M,2022,17.07,19.9,26.25,31.95,30.68,29.88,28.89,28.45,27.97,26.01,21.09,18.27,25.56
T2M,2023,18.77,23.08,27.67,31.65,32.09,31.94,29.58,28.86,28.33,26.31,22.44,18.59,26.62
T2M,2024,16.54,22.07,27.03,33.7,31.79,30.64,29.54,28.31,28.31,27.2,22.61,18.25,26.33
T2M,2025,17.76,22.94,27.73,30.81,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_RANGE,1981,14.43,15.96,13.45,12.44,8.47,6.98,5.18,5.34,5.01,9.58,12.68,13.13,10.18
T2M_RANGE,1982,14.45,13.69,13.97,12.97,12.37,6.63,6.39,4.63,6.76,8.87,12.33,16.09,10.75
T2M_RANGE,1983,15.61,14.22,16.32,14.91,10.77,8.12,7.29,5.77,5.85,8.77,14.62,15.74,11.48
T2M_RANGE,1984,15.01,16.75,18.57,14.85,11.04,5.7,5.34,4.77,5.99,8.16,14.25,17.03,11.44
T2M_RANGE,1985,14.97,16.79,17.76,15.3,12.4,8.31,5.79,6.04,5.35,8.76,13.4,15.26,11.65
T2M_RANGE,1986,16.36,15.9,17.48,15.08,12.2,8.17,5.44,6.26,5.75,8.01,10.39,12.14,11.07
T2M_RANGE,1987,15.21,15.88,15.27,15.19,12.26,7.8,5.81,5.36,5.42,8.8,11.51,16.13,11.2
T2M_RANGE,1988,17.28,16.78,15.94,14.33,10.98,6.41,4.85,5.12,5.08,9.52,13.76,14.52,11.2
T2M_RANGE,1989,17.41,17.83,17.05,17.52,12.16,6.94,5.5,5.38,5.23,7.35,12.86,15.06,11.65
T2M_RANGE,1990,17.31,13.7,12.88,14.13,9.58,5.9,4.62,5.33,4.85,7.4,10.81,13.79,10.01
T2M_RANGE,1991,15.05,17.23,15.73,15.1,13.58,6.24,5.18,5.14,4.96,7.13,11.9,13.19,10.83
T2M_RANGE,1992,14.59,14.4,17.56,17.45,12.31,7.16,4.76,5.09,6.12,8.79,12.67,15.96,11.39
T2M_RANGE,1993,16.11,16.87,16.59,14.51,11.44,6.7,5.31,4.74,4.27,7.73,11.78,15.14,10.9
T2M_RANGE,1994,16.06,15.47,16.4,14.19,11.86,5.98,4.77,4.79,6.43,8.49,12.85,16.81,11.15
T2M_RANGE,1995,16.44,15.77,16.57,16.44,9.64,5.58,4.3,4.25,4.31,7.36,10.41,14.0,10.39
T2M_RANGE,1996,13.71,15.65,15.9,14.73,13.43,7.89,5.22,4.65,5.47,9.43,13.69,16.23,11.32
T2M_RANGE,1997,15.68,16.11,15.34,11.54,12.39,7.04,4.17,4.35,4.97,8.65,10.22,12.32,10.2
T2M_RANGE,1998,13.47,14.71,14.09,12.98,11.47,6.77,5.02,4.33,4.7,6.61,9.49,13.47,9.73
T2M_RANGE,1999,15.37,17.37,18.29,16.14,10.33,6.92,4.74,4.57,4.3,5.92,11.57,13.07,10.67
T2M_RANGE,2000,15.48,13.09,16.49,13.7,7.64,5.32,5.13,5.2,4.89,7.82,10.72,13.94,9.95
T2M_RANGE,2001,15.83,16.48,15.57,14.29,9.78,4.71,4.46,4.69,5.12,6.23,8.86,13.35,9.91
T2M_RANGE,2002,12.77,15.68,15.47,14.02,12.63,5.57,4.85,4.39,4.92,7.74,10.34,13.18,10.1
T2M_RANGE,2003,15.09,14.23,13.57,13.96,12.91,6.76,4.76,5.08,4.91,5.88,10.95,11.84,9.97
T2M_RANGE,2004,13.59,15.38,16.8,13.5,12.24,6.29,5.03,4.44,4.57,7.53,11.24,12.16,10.22
T2M_RANGE,2005,12.83,15.24,14.04,13.78,10.53,7.98,5.33,5.31,4.5,5.93,11.27,12.45,9.89
T2M_RANGE,2006,14.74,16.08,15.18,13.82,9.09,5.36,4.6,4.64,4.68,7.67,10.06,13.31,9.9
T2M_RANGE,2007,15.33,13.29,15.69,13.95,10.36,6.27,4.26,4.88,4.41,7.79,9.59,12.79,9.87
T2M_RANGE,2008,13.25,13.72,14.13,13.7,10.36,5.16,4.16,4.69,4.8,7.63,10.25,11.96,9.47
T2M_RANGE,2009,14.01,16.89,16.1,15.58,9.11,6.88,5.74,4.66,4.88,8.71,10.28,12.7,10.42
T2M_RANGE,2010,15.3,15.38,16.34,14.91,8.83,6.14,5.55,5.65,5.28,7.0,9.14,12.0,10.1
T2M_RANGE,2011,14.35,15.71,15.49,12.78,9.45,6.07,5.31,4.25,4.6,7.88,10.84,13.11,9.96
T2M_RANGE,2012,12.59,16.18,16.59,12.79,10.91,7.98,5.97,5.33,5.18,9.15,11.81,14.77,10.76
T2M_RANGE,2013,15.73,16.91,17.03,14.45,9.34,5.51,5.35,4.64,4.93,5.49,11.6,12.41,10.24
T2M_RANGE,2014,13.86,14.64,15.18,15.8,11.55,6.37,5.03,4.56,5.87,7.9,12.69,14.36,10.62
T2M_RANGE,2015,14.39,14.47,15.3,11.57,10.5,7.01,4.41,5.02,5.93,7.9,10.85,11.79,9.9
T2M_RANGE,2016,14.09,13.13,13.75,15.37,11.54,6.89,5.12,4.97,5.29,7.92,11.08,13.21,10.19
T2M_RANGE,2017,14.9,15.74,14.66,13.41,11.25,6.66,4.71,4.6,4.95,6.18,10.35,11.8,9.9
T2M_RANGE,2018,14.53,14.41,15.88,12.27,10.73,6.53,5.39,5.15,5.41,8.57,10.9,13.51,10.26
