-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  18.969   Longitude 72.8506 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
TS            MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,22.83,26.0,28.27,30.44,30.85,28.82,26.46,25.73,26.22,25.9,22.86,23.03,26.45
T2M,1982,23.11,24.56,27.28,29.45,30.59,28.89,26.68,25.59,25.56,27.01,24.72,23.67,26.43
T2M,1983,22.37,22.84,26.42,28.58,30.74,29.43,27.17,26.16,25.9,24.99,22.61,22.71,25.84
T2M,1984,21.77,24.83,29.74,30.91,31.17,28.43,25.99,25.32,25.28,25.7,23.56,23.34,26.34
T2M,1985,23.51,25.23,29.57,29.94,30.09,28.0,26.0,25.38,25.6,25.11,23.15,23.33,26.25
T2M,1986,23.45,24.76,28.26,30.29,30.46,27.96,26.32,25.11,25.4,26.17,25.28,23.31,26.4
T2M,1987,24.69,25.64,28.44,30.26,30.26,28.72,26.88,26.29,26.65,26.71,25.72,24.34,27.05
T2M,1988,24.98,26.07,27.48,30.75,31.15,29.1,26.79,26.27,26.61,25.3,23.1,23.19,26.73
T2M,1989,23.36,25.68,27.95,30.41,30.9,27.76,26.38,25.39,25.77,26.14,24.87,22.79,26.45
T2M,1990,25.04,25.67,26.9,29.33,30.43,27.81,26.06,25.47,25.42,25.97,24.8,23.36,26.36
T2M,1991,22.21,24.73,28.05,30.45,31.1,28.41,26.22,25.53,25.51,25.86,25.33,22.99,26.37
T2M,1992,24.22,24.3,27.99,29.54,30.9,29.31,27.32,25.86,25.78,25.51,24.7,23.49,26.58
T2M,1993,24.03,25.92,27.62,29.83,31.05,28.84,26.58,25.92,25.69,26.45,23.69,21.89,26.46
T2M,1994,22.93,23.66,29.5,29.88,30.81,27.63,25.94,25.37,24.93,25.88,24.53,22.1,26.11
T2M,1995,22.26,25.54,28.11,30.52,30.92,29.95,27.12,26.34,25.99,26.33,23.32,23.15,26.63
